author|0|body_xml
elmirkinskij|2013/03/25 08:34:31|[12:22:47] Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с: Зак.18: Документ поступление товаров и услуг, не заполняется автоматически договор
[12:22:52 | Edited 12:23:13] Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с: у тебя другое?
[12:25:01] Григорюк Дмитрий: эту антон поправил, но теперь заказ покупателя пропал
[12:31:01] Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с: Он не относится к исправлению зак.18 же.
[12:31:30] Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с: насколько я понимаю это совсем другая задача?
elmirkinskij|2013/03/25 08:34:40|или я не о том думаю или он перепутал...
iabbliz|2013/03/25 08:36:40|<quote author="elmirkinskij" authorname="Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с" conversation="elmirkinskij" guid="x63ba212f1255f0d361ea05f1e0702acadbc4c781b278c2eea88153d03121e7fd" timestamp="1364200343"><legacyquote>[12:32:23] Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с: </legacyquote>КР-00000160 заказ поставщику на круг модель В ТЧ товары не проставился заказ покупателя<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>поидее в документе Заказ покупателя и счет на оплату должен проставится заказа поставщику в ТЧ
А вот в ТЧ: Заказа поставщику, помойму ничего не должно ставится
iabbliz|2013/03/25 08:36:51|надо посмотреть
iabbliz|2013/03/25 08:37:03|но да помойму это уже другая задача не Зак.18
elmirkinskij|2013/03/25 08:37:23|он попутал<ss type="smile">:)</ss>
elmirkinskij|2013/03/25 08:37:23|[12:31:30] Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с: насколько я понимаю это совсем другая задача?
[12:34:35] Григорюк Дмитрий: ок, ща поставлю
