author|0|body_xml
iabbliz|2013/05/14 14:10:21|Вера попросила откатить хранилище на 5.05
iabbliz|2013/05/14 14:10:38|свои изменения сохрани куда нить, чтобы потом залить
duke-81|2013/05/14 14:11:16|пипец
duke-81|2013/05/14 14:12:28|а подскажи в ТЧ заказа покупателя как товар с услугой связан?
duke-81|2013/05/14 14:12:38|ключ связи?
duke-81|2013/05/14 14:12:40|у них один?
duke-81|2013/05/14 14:12:42|или что
iabbliz|2013/05/14 14:12:49|да ключ связи один
duke-81|2013/05/14 14:12:52|рздКлючСвязи
iabbliz|2013/05/14 14:12:58|плюс на верхнем уровне это товар
iabbliz|2013/05/14 14:13:03|на втором услуга
iabbliz|2013/05/14 14:13:06|всегда
duke-81|2013/05/14 14:13:09|не
iabbliz|2013/05/14 14:13:13|если дерево
duke-81|2013/05/14 14:13:13|я не из формы)
iabbliz|2013/05/14 14:13:17|дерево строится по ключу
duke-81|2013/05/14 14:13:17|я извне
iabbliz|2013/05/14 14:13:20|рздКлючСвязи
duke-81|2013/05/14 14:14:14|чож не проиндексировали его
iabbliz|2013/05/14 14:14:44|<quote author="duke-81" authorname="Денис Карякин" conversation="duke-81" guid="xe36c1343d481996bb11ab40f0e55eba809dac9eb0663e5623e63f2116d6f7c05" timestamp="1368540854"><legacyquote>[18:14:14] Денис Карякин: </legacyquote>чож не проиндексировали его<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>не ко мне
duke-81|2013/05/14 14:14:53|угу
duke-81|2013/05/14 14:14:58|к ящеркам
iabbliz|2013/05/14 14:15:07|да и смысла особого нет
iabbliz|2013/05/14 14:15:23|не думаю что в одном документе будет куча строк товаров и услуг
iabbliz|2013/05/14 14:15:29|у них куча документов это да
duke-81|2013/05/14 14:15:49|как это всё работает)
duke-81|2013/05/14 14:15:56|до сих пор
duke-81|2013/05/14 14:16:12|а когда ты откатишься?
iabbliz|2013/05/14 14:16:30|объекты отпустил?
duke-81|2013/05/14 14:16:37|нет еще
