author|0|body_xml
iabbliz|2013/05/27 15:16:24|пробую
iabbliz|2013/05/27 15:19:50|обновилось
enichevmaxim|2013/05/27 15:20:56|оке
iabbliz|2013/05/27 15:23:24|убежал конфигуратор освободил
enichevmaxim|2013/05/27 15:23:46|аха, сенк
iabbliz|2013/05/28 07:03:49|привет
iabbliz|2013/05/28 07:04:00|какого рода?
enichevmaxim|2013/05/28 07:04:11|{ОбщийМодуль.рздОбщий.Модуль(7790)}: Деление на 0
 пЦенаСоСкидкой=СтрокаТЧ.Сумма/СтрокаТЧ.Количество;

первая - это при добавилении нового товара
iabbliz|2013/05/28 07:04:11|Пасечнику наверно лучше об этом сказать
iabbliz|2013/05/28 07:04:17|ааа
iabbliz|2013/05/28 07:04:20|хм...
iabbliz|2013/05/28 07:04:30|ок сейчас подправлю
iabbliz|2013/05/28 07:04:43|а вторая?
enichevmaxim|2013/05/28 07:05:40|ща пришлю
enichevmaxim|2013/05/28 07:06:22|но смысл в том что остаток есть, а проверка говорит что нет..
iabbliz|2013/05/28 07:06:48|это надо смотреть
iabbliz|2013/05/28 07:06:59|Первую поправил
iabbliz|2013/05/28 07:07:01|надо перезайти
enichevmaxim|2013/05/28 07:07:30|оке..<ss type="smile">:)</ss>
enichevmaxim|2013/05/28 07:07:48|о, вторая исправилась..))
iabbliz|2013/05/28 07:07:56|отличненько
enichevmaxim|2013/05/28 07:07:56|спасиб
enichevmaxim|2013/05/28 07:08:00|ща провербю только
enichevmaxim|2013/05/28 07:21:07|А1-00029817 - Заказ Покупателя
enichevmaxim|2013/05/28 07:21:13|он на склад Новосибирск
enichevmaxim|2013/05/28 07:21:26|Ошибка! При проверке на дату: 28.05.2013 23:59:59 обнаружены следующие превышения остатков: 
 по РН: СвободныеОстатки остаток: -199 шт.. по &quot;Складной стакан на 200 мл с открывалкой в виде бутыл&quot; артикул(829501) склад: &quot;Оптовый&quot;
{Форма.ФормаОтчета.Форма(361)}: Ошибка при вызове метода контекста (Записать): Не удалось провести: &quot;Заказ покупателя&quot;!
enichevmaxim|2013/05/28 07:21:43|Вот так вот создаю его:
ЗаказПокупателя.Записать(РежимЗаписиДокумента.Проведение);
iabbliz|2013/05/28 07:22:09|ты сам?
enichevmaxim|2013/05/28 07:22:11|т.е. при програмной записи он проверяет Оптовый склад почему то
iabbliz|2013/05/28 07:22:16|там реквизит есть
iabbliz|2013/05/28 07:22:20|Размещение
iabbliz|2013/05/28 07:22:24|наверно из за этого
enichevmaxim|2013/05/28 07:22:29|я размещение заполняю..
iabbliz|2013/05/28 07:22:31|он по нему движения делает
iabbliz|2013/05/28 07:22:37|посмотри мб заполнено оно
